"path","chemical","ppm","device","datetime","split"
"NH4/Nokia/round2/0iNl7_ngochanpham274@gmail.com_2025-05-14 11_15_59_Vinh_NOKIA_NH4_0.04ppm_2_1_NOKIA _10.8768415_106.6782308.jpg","NH4","0.04","Nokia","2025-05-14 11:15:59","train"
"NH4/Nokia/round2/0lg2q_ngochanpham274@gmail.com_2025-05-14 11_51_14_Vinh_NOKIA_NH4_0.3ppm_2_10_NOKIA_10.8768533_106.6782315.jpg","NH4","0.3","Nokia","2025-05-14 11:51:14","train"
"NH4/Nokia/round2/0qVes_ngochanpham274@gmail.com_2025-05-14 12_32_57_Vinh_NOKIA_NH4_8ppm_2_3_NOKIA _10.8768522_106.6782317.jpg","NH4","8.0","Nokia","2025-05-14 12:32:57","train"
"NH4/Nokia/round2/0uCYf_ngochanpham274@gmail.com_2025-05-14 12_07_29_Vinh_NOKIA_NH4_0.7ppm_2_6_NOKIA_10.8768476_106.6782018.jpg","NH4","0.7","Nokia","2025-05-14 12:07:29","train"
"NH4/Nokia/round2/17bU7_ngochanpham274@gmail.com_2025-05-14 12_38_45_Vinh_NOKIA_NH4_9.5ppm_2_4_NOKIA _10.8768522_106.6782317.jpg","NH4","9.5","Nokia","2025-05-14 12:38:45","train"
"NH4/Nokia/round2/1gXRy_ngochanpham274@gmail.com_2025-05-14 12_23_00_Vinh_NOKIA_NH4_5ppm_2_2_NOKIA_10.8768476_106.6782348.jpg","NH4","5.0","Nokia","2025-05-14 12:23:00","train"
"NH4/Nokia/round2/1nGbu_ngochanpham274@gmail.com_2025-05-14 12_19_30_Vinh_NOKIA_NH4_3ppm_2_4_NOKIA_10.8768476_106.6782348.jpg","NH4","3.0","Nokia","2025-05-14 12:19:30","train"
"NH4/Nokia/round2/23fxy_ngochanpham274@gmail.com_2025-05-14 11_52_22_Vinh_NOKIA_NH4_0.4ppm_2_4_NOKIA_10.8768533_106.6782315.jpg","NH4","0.4","Nokia","2025-05-14 11:52:22","train"
"NH4/Nokia/round2/24fRs_ngochanpham274@gmail.com_2025-05-14 11_48_52_Vinh_NOKIA_NH4_0.3ppm_2_4_NOKIA_10.8768533_106.6782315.jpg","NH4","0.3","Nokia","2025-05-14 11:48:52","train"
"NH4/Nokia/round2/2ccMJ_ngochanpham274@gmail.com_2025-05-14 12_23_31_Vinh_NOKIA_NH4_5ppm_2_6_NOKIA_10.8768476_106.6782348.jpg","NH4","5.0","Nokia","2025-05-14 12:23:31","train"
"NH4/Nokia/round2/2cfQy_ngochanpham274@gmail.com_2025-05-14 11_24_37_Vinh_NOKIA_NH4_0.06ppm_2_3_NOKIA_10.8768404_106.6782346.jpg","NH4","0.06","Nokia","2025-05-14 11:24:37","train"
"NH4/Nokia/round2/2cipi_ngochanpham274@gmail.com_2025-05-14 11_50_33_Vinh_NOKIA_NH4_0.3ppm_2_7_NOKIA_10.8768533_106.6782315.jpg","NH4","0.3","Nokia","2025-05-14 11:50:33","train"
"NH4/Nokia/round2/2eYhk_ngochanpham274@gmail.com_2025-05-14 12_23_48_Vinh_NOKIA_NH4_5ppm_2_8_NOKIA_10.8768476_106.6782348.jpg","NH4","5.0","Nokia","2025-05-14 12:23:48","train"
"NH4/Nokia/round2/2GD57_ngochanpham274@gmail.com_2025-05-14 12_20_03_Vinh_NOKIA_NH4_3ppm_2_8_NOKIA_10.8768476_106.6782348.jpg","NH4","3.0","Nokia","2025-05-14 12:20:03","train"
"NH4/Nokia/round2/2pNSw_ngochanpham274@gmail.com_2025-05-14 11_11_24_Vinh_NOKIA_NH4_0.02ppm_2_5_NOKIA _10.8768415_106.6782308.jpg","NH4","0.02","Nokia","2025-05-14 11:11:24","train"
"NH4/Nokia/round2/2t6n4_ngochanpham274@gmail.com_2025-05-14 12_08_46_Vinh_NOKIA_NH4_0.8ppm_2_2_NOKIA_10.8768476_106.6782018.jpg","NH4","0.8","Nokia","2025-05-14 12:08:46","train"
"NH4/Nokia/round2/2w3Z4_ngochanpham274@gmail.com_2025-05-14 12_38_31_Vinh_NOKIA_NH4_9.5ppm_2_3_NOKIA _10.8768522_106.6782317.jpg","NH4","9.5","Nokia","2025-05-14 12:38:31","train"
