"path","chemical","ppm","device","datetime","split"
"NH4/OppoA83/round1/0npIb_ngochanpham274@gmail.com_2025-05-24 13_31_45_Vinh_OPPOA83_NH4_9.5ppm_1_10_OPPOA83_10.876848_106.678208.jpg","NH4","9.5","OppoA83","2025-05-24 13:31:45","train"
"NH4/OppoA83/round1/0sssF_ngochanpham274@gmail.com_2025-05-24 12_52_11_Vinh_OPPOA83_NH4_0.9ppm_1_8_OPPOA83_10.8768412_106.678226.jpg","NH4","0.9","OppoA83","2025-05-24 12:52:11","train"
"NH4/OppoA83/round1/0VckU_ngochanpham274@gmail.com_2025-05-22 11_40_02_Vinh_OPPOA83_NH4_0.095ppm_1_3_OPPOA83_10.8768452_106.6782097.jpg","NH4","0.095","OppoA83","2025-05-22 11:40:02","train"
"NH4/OppoA83/round1/0vXNO_ngochanpham274@gmail.com_2025-05-24 13_00_43_Vinh_OPPOA83_NH4_2ppm_1_10_OPPOA83_10.8768424_106.6782146.jpg","NH4","2.0","OppoA83","2025-05-24 13:00:43","train"
"NH4/OppoA83/round1/0wFlT_ngochanpham274@gmail.com_2025-05-24 12_25_26_Vinh_OPPOA83_NH4_0.095ppm_1_9_OPPOA83_10.8768427_106.6782173.jpg","NH4","0.095","OppoA83","2025-05-24 12:25:26","train"
"NH4/OppoA83/round1/1fpoE_ngochanpham274@gmail.com_2025-05-24 13_18_47_Vinh_OPPOA83_NH4_8ppm_1_7_OPPOA83_10.8768468_106.6782129.jpg","NH4","8.0","OppoA83","2025-05-24 13:18:47","train"
"NH4/OppoA83/round1/1JWbN_ngochanpham274@gmail.com_2025-05-22 12_06_49_Vinh_OPPOA83_NH4_1ppm_1_1_OPPOA83_10.8768476_106.678211.jpg","NH4","1.0","OppoA83","2025-05-22 12:06:49","train"
"NH4/OppoA83/round1/1kVdc_ngochanpham274@gmail.com_2025-05-24 13_28_55_Vinh_OPPOA83_NH4_9ppm_1_8_OPPOA83_10.876848_106.678208.jpg","NH4","9.0","OppoA83","2025-05-24 13:28:55","train"
"NH4/OppoA83/round1/1Nlc7_ngochanpham274@gmail.com_2025-05-24 12_33_07_Vinh_OPPOA83_NH4_0.1ppm_1_9_OPPOA83_10.8768464_106.6782139.jpg","NH4","0.1","OppoA83","2025-05-24 12:33:07","train"
"NH4/OppoA83/round1/24f9G_ngochanpham274@gmail.com_2025-05-24 12_22_19_Vinh_OPPOA83_NH4_0.08ppm_1_9_OPPOA83_10.8768427_106.6782173.jpg","NH4","0.08","OppoA83","2025-05-24 12:22:19","train"
"NH4/OppoA83/round1/2AhCd_ngochanpham274@gmail.com_2025-05-24 13_29_15_Vinh_OPPOA83_NH4_9ppm_1_7_OPPOA83_10.876848_106.678208.jpg","NH4","9.0","OppoA83","2025-05-24 13:29:15","train"
